transaction_id,customer_id,date,amount,type,merchant
T00001,C0117,2023-01-29,72027,Credit,Zomato
T00002,C0176,2024-07-20,10348,Debit,Swiggy
T00003,C0030,2024-10-20,30541,Credit,Electric Bill
T00004,C0195,2024-11-15,19046,Debit,ATM Withdrawal
T00005,C0132,2024-07-29,35924,Credit,ATM Withdrawal
T00006,C0049,2023-09-13,3400,Debit,Zomato
T00007,C0001,2023-01-27,3173,Debit,Flipkart
T00008,C0184,2023-08-19,68319,Credit,Swiggy
T00009,C0026,2024-08-11,61216,Credit,Salary
T00010,C0165,2023-11-14,2018,Debit,ATM Withdrawal
T00011,C0044,2023-07-09,4826,Debit,Salary
T00012,C0191,2024-03-10,33212,Credit,Zomato
T00013,C0057,2024-06-20,3121,Debit,Salary
T00014,C0118,2024-10-16,58599,Credit,Amazon
T00015,C0109,2024-05-23,2242,Debit,Electric Bill
T00016,C0028,2023-12-27,31678,Credit,ATM Withdrawal
T00017,C0193,2024-04-19,72135,Credit,ATM Withdrawal
T00018,C0074,2023-12-31,21742,Credit,Flipkart
T00019,C0156,2024-01-02,78241,Credit,ATM Withdrawal
T00020,C0061,2024-01-21,15808,Debit,Flipkart
T00021,C0114,2023-09-11,5249,Credit,ATM Withdrawal
T00022,C0117,2024-06-28,6806,Credit,ATM Withdrawal
T00023,C0194,2023-07-21,9119,Debit,Electric Bill
T00024,C0176,2023-12-23,57135,Credit,Amazon
T00025,C0081,2023-08-15,40891,Credit,Flipkart
T00026,C0078,2024-11-01,62046,Credit,Flipkart
T00027,C0113,2024-01-03,14881,Debit,Salary
T00028,C0125,2023-06-10,8978,Debit,Flipkart
T00029,C0018,2024-09-19,7964,Credit,Electric Bill
T00030,C0116,2024-08-24,6414,Debit,Zomato
T00031,C0157,2024-05-13,4033,Debit,Swiggy
T00032,C0062,2023-10-19,1316,Debit,Flipkart
T00033,C0053,2023-09-28,3036,Debit,Salary
T00034,C0095,2023-01-09,179,Debit,ATM Withdrawal
T00035,C0047,2024-02-19,49479,Credit,Salary
T00036,C0055,2024-07-20,12948,Credit,Flipkart
T00037,C0137,2024-09-17,41346,Credit,Salary
T00038,C0099,2024-05-06,46029,Credit,Amazon
T00039,C0195,2024-05-28,19357,Debit,ATM Withdrawal
T00040,C0193,2024-05-02,71262,Credit,Rent
T00041,C0147,2023-01-03,4444,Debit,ATM Withdrawal
T00042,C0159,2023-04-01,18039,Debit,Salary
T00043,C0084,2024-04-08,62515,Credit,Amazon
T00044,C0119,2023-07-07,49502,Credit,Zomato
T00045,C0081,2023-11-10,5844,Debit,Swiggy
T00046,C0100,2024-05-05,69528,Credit,Amazon
T00047,C0053,2024-07-27,8277,Debit,Zomato
T00048,C0134,2024-11-20,8105,Credit,Swiggy
T00049,C0107,2023-05-18,5923,Debit,Amazon
T00050,C0150,2024-06-23,70076,Credit,Salary
T00051,C0032,2024-11-12,19222,Debit,Salary
T00052,C0106,2023-12-27,11438,Debit,Flipkart
T00053,C0182,2023-08-15,43503,Credit,Zomato
T00054,C0112,2024-05-05,17583,Credit,Zomato
T00055,C0082,2023-04-26,5392,Debit,Salary
T00056,C0128,2023-10-13,29556,Credit,Amazon
T00057,C0158,2023-04-18,79493,Credit,Flipkart
T00058,C0104,2023-01-27,12726,Debit,Salary
T00059,C0163,2023-03-01,65402,Credit,Flipkart
T00060,C0005,2023-07-26,42207,Credit,ATM Withdrawal
T00061,C0083,2024-09-21,17070,Credit,Swiggy
T00062,C0002,2023-02-21,17200,Debit,ATM Withdrawal
T00063,C0039,2023-07-09,5406,Debit,Flipkart
T00064,C0192,2024-06-01,48744,Credit,Electric Bill
T00065,C0116,2024-06-27,71948,Credit,Rent
T00066,C0198,2024-06-20,10479,Debit,Amazon
T00067,C0114,2024-05-03,4617,Debit,Rent
T00068,C0070,2024-11-28,68623,Credit,Electric Bill
T00069,C0054,2024-02-05,59833,Credit,Flipkart
T00070,C0084,2023-01-24,69730,Credit,Electric Bill
T00071,C0106,2023-04-26,48798,Credit,Amazon
T00072,C0057,2023-01-10,7337,Debit,Salary
T00073,C0149,2023-03-01,5743,Debit,Rent
T00074,C0122,2024-05-12,28600,Credit,ATM Withdrawal
T00075,C0173,2023-07-25,19304,Debit,Amazon
T00076,C0084,2023-09-23,57784,Credit,Electric Bill
T00077,C0149,2024-06-21,34542,Credit,ATM Withdrawal
T00078,C0140,2023-11-06,7330,Debit,Salary
T00079,C0175,2024-11-20,49946,Credit,Amazon
T00080,C0121,2024-07-11,9855,Debit,Rent
T00081,C0125,2024-03-14,17413,Debit,ATM Withdrawal
T00082,C0124,2024-02-20,46029,Credit,Flipkart
T00083,C0096,2023-12-08,43789,Credit,Salary
T00084,C0108,2024-01-13,8851,Debit,Swiggy
T00085,C0192,2024-11-20,483,Debit,Swiggy
T00086,C0185,2023-11-10,7174,Debit,Zomato
T00087,C0111,2023-05-12,11399,Debit,Electric Bill
T00088,C0152,2023-07-10,14743,Debit,Electric Bill
T00089,C0070,2023-03-17,60667,Credit,Electric Bill
T00090,C0063,2024-07-21,16071,Debit,Swiggy
T00091,C0197,2023-10-02,19174,Debit,Electric Bill
T00092,C0064,2023-07-28,5477,Debit,Electric Bill
T00093,C0093,2023-03-13,17447,Debit,Salary
T00094,C0196,2023-11-02,48412,Credit,Flipkart
T00095,C0138,2023-04-16,8456,Debit,ATM Withdrawal
T00096,C0184,2023-08-02,8849,Debit,Salary
T00097,C0057,2023-06-28,13506,Debit,Swiggy
T00098,C0091,2023-02-21,57512,Credit,Swiggy
T00099,C0114,2023-03-31,13965,Debit,Swiggy
T00100,C0172,2024-03-09,15645,Debit,Flipkart
T00101,C0078,2024-05-12,18267,Debit,Salary
T00102,C0156,2024-03-11,36658,Credit,Amazon
T00103,C0012,2023-03-07,74367,Credit,Amazon
T00104,C0039,2024-10-19,38512,Credit,Amazon
T00105,C0097,2023-01-26,5891,Debit,Electric Bill
T00106,C0047,2023-06-04,51138,Credit,Electric Bill
T00107,C0189,2024-05-20,1041,Debit,Swiggy
T00108,C0115,2023-04-16,5761,Debit,Amazon
T00109,C0063,2023-10-05,15835,Credit,ATM Withdrawal
T00110,C0141,2023-05-28,26139,Credit,Flipkart
T00111,C0011,2024-07-01,35958,Credit,ATM Withdrawal
T00112,C0052,2024-08-20,54336,Credit,Electric Bill
T00113,C0002,2024-07-30,38252,Credit,Swiggy
T00114,C0074,2024-06-15,12991,Debit,Zomato
T00115,C0131,2023-09-18,69422,Credit,Swiggy
T00116,C0064,2024-02-16,6712,Debit,Salary
T00117,C0117,2024-06-13,2265,Debit,Swiggy
T00118,C0167,2023-04-20,9249,Credit,ATM Withdrawal
T00119,C0167,2023-03-16,49167,Credit,Swiggy
T00120,C0059,2024-03-11,16028,Debit,Flipkart
T00121,C0200,2024-04-12,6306,Debit,Flipkart
T00122,C0066,2024-10-26,6840,Credit,Swiggy
T00123,C0186,2023-08-21,12320,Debit,Amazon
T00124,C0016,2023-01-12,19425,Debit,Amazon
T00125,C0008,2023-04-15,60734,Credit,Salary
T00126,C0177,2024-02-28,8226,Debit,Zomato
T00127,C0156,2024-10-17,1582,Debit,Electric Bill
T00128,C0191,2024-06-17,23970,Credit,Zomato
T00129,C0156,2024-07-17,2765,Debit,ATM Withdrawal
T00130,C0195,2023-07-11,7659,Debit,Zomato
T00131,C0166,2023-08-04,5581,Credit,Swiggy
T00132,C0034,2023-03-11,49460,Credit,Flipkart
T00133,C0082,2024-07-29,70648,Credit,Zomato
T00134,C0082,2024-02-17,20529,Credit,Electric Bill
T00135,C0064,2024-01-03,17697,Debit,Swiggy
T00136,C0200,2024-10-03,64735,Credit,Zomato
T00137,C0149,2024-07-11,44990,Credit,Amazon
T00138,C0179,2024-05-06,11667,Debit,Flipkart
T00139,C0084,2023-10-02,49586,Credit,Amazon
T00140,C0080,2024-06-06,68311,Credit,Rent
T00141,C0011,2023-10-25,35721,Credit,Rent
T00142,C0059,2024-03-14,20007,Credit,Electric Bill
T00143,C0200,2023-04-03,68254,Credit,Electric Bill
T00144,C0140,2024-05-29,32109,Credit,Amazon
T00145,C0022,2023-09-30,694,Debit,ATM Withdrawal
T00146,C0199,2024-06-08,16799,Credit,Salary
T00147,C0053,2024-03-09,75163,Credit,ATM Withdrawal
T00148,C0018,2024-05-19,3324,Debit,Zomato
T00149,C0176,2024-09-07,6262,Debit,Rent
T00150,C0116,2023-11-30,30212,Credit,Swiggy
T00151,C0095,2023-04-22,14499,Debit,Swiggy
T00152,C0110,2023-01-23,6493,Debit,Rent
T00153,C0131,2024-05-21,9156,Credit,Amazon
T00154,C0120,2024-09-13,17281,Debit,ATM Withdrawal
T00155,C0118,2023-12-17,7334,Debit,Salary
T00156,C0124,2023-04-11,38651,Credit,Salary
T00157,C0183,2023-06-04,13970,Debit,Rent
T00158,C0045,2023-09-03,58846,Credit,Rent
T00159,C0162,2023-11-19,1650,Debit,Salary
T00160,C0172,2024-02-22,19052,Debit,Amazon
T00161,C0088,2023-04-30,15748,Credit,Electric Bill
T00162,C0183,2024-04-23,56055,Credit,Rent
T00163,C0092,2024-07-14,42437,Credit,Electric Bill
T00164,C0056,2024-02-09,69073,Credit,Flipkart
T00165,C0176,2024-08-31,16928,Debit,Amazon
T00166,C0088,2023-05-10,72553,Credit,Salary
T00167,C0082,2024-04-12,11506,Debit,ATM Withdrawal
T00168,C0059,2023-11-02,13358,Debit,Swiggy
T00169,C0152,2023-08-24,55874,Credit,Amazon
T00170,C0125,2023-12-22,35414,Credit,Amazon
T00171,C0135,2024-11-07,6432,Debit,Zomato
T00172,C0068,2023-06-30,10492,Debit,Electric Bill
T00173,C0059,2023-02-14,44698,Credit,Rent
T00174,C0194,2024-03-03,17288,Debit,Swiggy
T00175,C0023,2024-09-19,13202,Debit,Rent
T00176,C0165,2023-05-15,64605,Credit,Salary
T00177,C0059,2024-01-20,38250,Credit,Amazon
T00178,C0177,2023-03-27,25051,Credit,Swiggy
T00179,C0066,2023-07-10,62974,Credit,Flipkart
T00180,C0011,2024-03-29,43866,Credit,Zomato
T00181,C0070,2023-08-26,31007,Credit,Swiggy
T00182,C0104,2023-07-24,8378,Debit,Swiggy
T00183,C0068,2024-04-11,4752,Debit,Flipkart
T00184,C0118,2023-08-18,57393,Credit,Salary
T00185,C0151,2023-02-15,8684,Credit,Salary
T00186,C0012,2023-11-08,5916,Debit,Swiggy
T00187,C0075,2023-10-20,29886,Credit,Amazon
T00188,C0138,2024-04-15,6531,Debit,Amazon
T00189,C0197,2024-02-18,63973,Credit,Rent
T00190,C0159,2023-02-02,2402,Debit,ATM Withdrawal
T00191,C0088,2024-10-24,39916,Credit,ATM Withdrawal
T00192,C0123,2023-08-23,11089,Debit,Salary
T00193,C0063,2023-08-13,64155,Credit,Rent
T00194,C0103,2023-11-06,13968,Debit,Swiggy
T00195,C0053,2023-03-02,44679,Credit,Salary
T00196,C0054,2024-11-05,14202,Debit,Rent
T00197,C0159,2024-08-24,9604,Debit,Electric Bill
T00198,C0023,2023-01-21,337,Debit,Electric Bill
T00199,C0116,2024-09-16,58140,Credit,Rent
T00200,C0185,2024-05-29,25162,Credit,Salary
T00201,C0146,2023-04-09,66245,Credit,Electric Bill
T00202,C0033,2024-01-28,9020,Credit,Zomato
T00203,C0156,2023-12-24,18910,Credit,Swiggy
T00204,C0034,2023-06-21,15311,Debit,Amazon
T00205,C0029,2023-01-01,46311,Credit,Rent
T00206,C0143,2024-05-22,6892,Debit,ATM Withdrawal
T00207,C0110,2023-06-05,32686,Credit,Salary
T00208,C0008,2023-01-15,59259,Credit,ATM Withdrawal
T00209,C0059,2024-07-21,18428,Credit,ATM Withdrawal
T00210,C0057,2024-10-13,7005,Debit,Salary
T00211,C0175,2023-11-29,7019,Debit,Rent
T00212,C0029,2023-12-12,18789,Debit,Swiggy
T00213,C0091,2024-11-09,58770,Credit,Rent
T00214,C0029,2024-04-12,16015,Debit,Swiggy
T00215,C0176,2023-08-14,13794,Debit,Rent
T00216,C0153,2023-01-22,9761,Debit,Salary
T00217,C0026,2023-05-26,74176,Credit,Rent
T00218,C0049,2023-03-15,16885,Debit,Amazon
T00219,C0070,2023-10-23,64879,Credit,Electric Bill
T00220,C0017,2024-08-25,4979,Debit,Flipkart
T00221,C0106,2023-05-08,30973,Credit,Electric Bill
T00222,C0087,2024-11-11,34218,Credit,Swiggy
T00223,C0130,2023-06-03,16058,Credit,Amazon
T00224,C0165,2023-03-19,30012,Credit,Rent
T00225,C0008,2023-03-12,13998,Debit,Rent
T00226,C0100,2023-03-19,14420,Credit,ATM Withdrawal
T00227,C0174,2024-09-12,41135,Credit,Flipkart
